YEAR,CASE12,CASE3
2005,136,126
2006,942,958
2007,181,168
2008,424,422
2009,748,787
2010,1075,1047
2011,1168,1165
2012,507,504
2013,70,65
2014,14999,15085
2015,19723,19975
2016,342,3
2017,,
