"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.2","1019.6","1024.5","2019-01-01 09:12","1014.6","2019-01-14 14:50","21.9","28.8","2019-01-31 13:13","14.6","2019-01-23 06:11","16.3","2.3","360","10.3","360","2019-01-25 16:49","2.5","4.7","4","0.6","2019-01-19 23:39","0.6","2019-01-19 23:05","1.0","2019-01-16 00:00","71","92.3","154.5","353.30","6","8","2019-01-29 13:00","5.2"
"02","1017.4","1017.8","1023.9","2019-02-12 08:45","1012.2","2019-02-28 15:31","23.8","31.3","2019-02-07 12:50","18.7","2019-02-25 04:00","18.2","2.4","20","12.2","310","2019-02-22 14:51","12.5","8.8","3","1.5","2019-02-04 20:22","4.0","2019-02-04 19:55","6.0","2019-02-04 00:00","71","111.3","221.1","446.40","8","10","2019-02-20 13:00","3.5"
"03","1014.7","1015.1","1020.1","2019-03-17 08:54","1008.7","2019-03-03 14:16","24.1","31.5","2019-03-05 11:32","17.4","2019-03-08 06:12","18.8","2.2","360","13.2","160","2019-03-05 13:26","44.0","18.8","7","10.0","2019-03-10 02:10","10.5","2019-03-10 02:05","21.0","2019-03-10 00:00","73","125.1","206.1","482.93","8","12","2019-03-29 13:00","4.3"
"04","1012.0","1012.3","1019.5","2019-04-02 08:02","1006.2","2019-04-30 15:59","26.9","33.3","2019-04-20 11:48","21.0","2019-04-02 02:49","21.8","2.2","350","15.0","290","2019-04-19 15:10","63.2","9.5","4","8.5","2019-04-19 15:32","20.5","2019-04-19 05:35","49.5","2019-04-19 00:00","74","150.3","237.5","568.26","9","12","2019-04-29 12:00","3.9"
"05","1009.3","1009.7","1014.2","2019-05-04 08:31","1005.0","2019-05-18 03:29","27.5","33.0","2019-05-26 16:13","22.2","2019-05-02 20:59","23.5","1.7","290","11.4","360","2019-05-20 16:22","196.3","35.4","14","13.0","2019-05-20 17:50","35.5","2019-05-20 17:47","63.5","2019-05-20 00:00","79","119.2","143.4","467.48","8","12","2019-05-19 12:00","7.0"
"06","1007.4","1007.8","1012.2","2019-06-06 10:12","999.9","2019-06-14 15:33","29.6","34.3","2019-06-18 11:16","24.4","2019-06-12 04:12","25.4","1.8","160","14.7","150","2019-06-13 22:25","298.0","23.3","11","21.0","2019-06-10 15:27","55.5","2019-06-11 04:09","66.5","2019-06-11 00:00","78","110.2","170.3","437.64","10","13","2019-06-02 12:00","6.5"
"07","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
