"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.3","1016.7","1026.0","2018-01-13 09:42","1009.0","2018-01-22 14:42","20.4","29.3","2018-01-28 13:25","10.4","2018-01-13 06:49","15.1","2.3","360","16.6","360","2018-01-09 04:53","23.5","33.1","7","1.5","2018-01-05 03:25","5.5","2018-01-05 03:23","11.5","2018-01-05 00:00","72","75.7","149.0","368.06","6","7","2018-01-26 13:00","6.0"
"02","1017.5","1017.9","1025.6","2018-02-12 09:29","1010.8","2018-02-21 15:13","19.8","31.2","2018-02-15 13:04","10.2","2018-02-06 06:29","13.4","2.5","360","13.6","360","2018-02-02 18:24","4.5","9.2","2","0.5","2018-02-11 02:03","1.0","2018-02-11 03:49","3.5","2018-02-11 00:00","67","89.0","136.8","370.30","7","10","2018-02-15 13:00","6.4"
"03","1015.0","1015.4","1022.0","2018-03-11 08:11","1008.5","2018-03-20 15:54","23.5","31.0","2018-03-05 10:37","12.8","2018-03-09 02:23","16.3","2.3","310","14.9","360","2018-03-21 00:29","57.0","11.8","5","11.5","2018-03-20 07:12","19.0","2018-03-15 18:20","34.0","2018-03-15 00:00","65","136.0","255.7","585.89","8","11","2018-03-05 13:00","3.7"
"04","1013.2","1013.6","1021.7","2018-04-07 09:06","1007.1","2018-04-23 14:56","26.3","33.2","2018-04-23 13:38","17.4","2018-04-07 01:15","19.5","2.2","310","12.0","150","2018-04-23 11:46","9.5","3.8","4","2.5","2018-04-25 08:10","7.0","2018-04-25 08:08","7.5","2018-04-25 00:00","67","147.2","219.9","590.07","10","12","2018-04-12 12:00","5.3"
"05","1010.7","1011.1","1017.5","2018-05-05 08:26","1006.2","2018-05-25 16:25","29.1","33.7","2018-05-29 14:21","23.2","2018-05-09 06:31","23.4","2.1","290","10.4","320","2018-05-26 15:23","58.7","9.9","4","10.0","2018-05-08 07:01","23.0","2018-05-08 06:57","45.5","2018-05-08 00:00","72","170.9","289.3","718.07","11","13","2018-05-06 12:00","4.2"
"06","1005.5","1005.9","1012.0","2018-06-25 22:19","990.7","2018-06-14 19:02","29.1","34.2","2018-06-08 13:37","24.5","2018-06-20 02:35","24.3","2.2","160","18.8","180","2018-06-14 20:31","835.0","95.7","14","16.5","2018-06-21 00:56","53.5","2018-06-15 05:16","193.5","2018-06-20 00:00","75","127.1","200.8","535.82","10","13","2018-06-28 13:00","6.1"
"07","1004.6","1005.0","1008.7","2018-07-27 21:54","998.5","2018-07-11 05:16","29.2","33.9","2018-07-18 12:17","24.3","2018-07-03 05:24","24.4","2.0","300","11.5","360","2018-07-10 21:58","410.0","56.8","14","19.0","2018-07-19 19:46","63.0","2018-07-19 19:20","92.0","2018-07-03 00:00","76","151.7","208.6","560.38","10","13","2018-07-15 13:00","6.2"
"08","1003.2","1003.6","1012.9","2018-08-31 09:08","992.8","2018-08-23 06:32","28.0","34.1","2018-08-16 12:53","23.0","2018-08-23 20:37","23.9","2.2","160","19.3","200","2018-08-23 10:21","1600.5","199.5","26","28.5","2018-08-23 10:03","109.0","2018-08-23 09:54","314.5","2018-08-28 00:00","79","82.4","127.7","388.12","7","13","2018-08-20 12:00","7.4"
"09","1007.8","1008.1","1015.3","2018-09-17 22:46","997.1","2018-09-15 16:11","29.1","33.7","2018-09-17 12:19","25.2","2018-09-29 05:50","23.8","2.2","310","16.1","360","2018-09-29 05:50","66.0","20.0","10","7.0","2018-09-07 18:10","17.0","2018-09-06 15:42","21.5","2018-09-06 00:00","74","148.8","214.0","531.81","9","12","2018-09-03 12:00","5.0"
"10","1013.3","1013.7","1019.5","2018-10-20 08:49","1005.8","2018-10-04 15:07","26.8","31.2","2018-10-04 13:02","21.0","2018-10-29 05:44","20.7","2.1","310","17.9","350","2018-10-05 04:46","1.5","1.4","2","0.5","2018-10-31 15:08","1.0","2018-10-10 00:01","1.0","2018-10-10 00:00","70","140.9","222.8","499.33","7","9","2018-10-05 12:00","3.9"
"11","1015.8","1016.2","1021.2","2018-11-30 09:25","1009.9","2018-11-01 04:01","25.6","32.1","2018-11-19 13:34","20.8","2018-11-24 05:39","20.3","2.0","310","13.0","350","2018-11-25 22:32","2.0","1.1","2","1.5","2018-11-02 07:05","1.5","2018-11-02 07:05","1.5","2018-11-02 00:00","73","119.1","177.5","369.22","6","7","2018-11-03 12:00","4.9"
"12","1017.4","1017.8","1024.5","2018-12-31 09:35","1009.2","2018-12-26 14:47","23.4","32.4","2018-12-04 13:23","16.0","2018-12-29 06:52","17.5","2.2","350","9.9","360","2018-12-27 04:43","0.0","0.0","0","0.0","2019-01-09 00:00","0.0","2019-01-09 00:00","0.0","2019-01-09 00:00","70","111.0","200.4","369.64","5","7","2018-12-26 13:00","4.0"
