YEAR,CASE3,CASE12
2005,60,62
2006,8,6
2007,1804,1824
2008,27,7
2009,10,10
2010,487,490
2011,95,95
2012,744,751
2013,38,32
2014,156,153
2015,22760,22766
2016,9,2
